Name|OSM tag|OSM tag proposal|AccessibleMaps Categories|AccessibleMaps Entities|AccessibleMaps Property|AccessibleMaps Sub-Property|A11yJSON tag|A11yJSON property
signage with text contrast for the purpose: designate permanent rooms or spaces; provide direction to or information about interior spaces|ref=user defined|high_contrast=yes, sign=direction, sign=yes|General help for orientation / Technical assistance|Signage|text contrast|purpose: designate permanent rooms or spaces; provide direction to or information about interior spaces||EquipmentProperties#isHighContrast, Restroom#signIcons
signal|room=signal|||||||
signal lamp is used to convey information / communicate by encoded light signals|light_source=signal_lamp|||||||
signal to find the pole, tock - tock in most countries|traffic_signals:sound=locate|||||||
signal when walking is allowed|traffic_signals:sound=walk|||||||
signmaker|craft=signmaker|||||||
signpost|information=guidepost|||||||Restroom#signIcons
signposting without gaps along escape route|information=guidepost|sign=no_gap, sign=yes|Security|Escape route|signposting without gaps|||
signs at inaccessible toilets that give directions about accessible route to accessible toilet rooms|amenity=toilets, building=toilets, information=guidepost, room=toilet, toilets=yes|route=accessible, sign=accessibility, sign=direction, sign=yes|Facility daily needs|Toilet / toilet compartment|signs at toilet rooms|at inaccessible toilets that give directions about accessible route to accessible toilet rooms|Accessibility#accessibleWith.wheelchair == false, Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Restroom#signIcons, Restroom#toilet
signs at toilet room regarding gender, disabled: Men; Ladies; Unisex; Accessible|amenity=toilets, building=toilets, female=alternating, female=no, female=yes, male=alternating, male=no, male=yes, room=toilet, toilets=yes, toilets:wheelchair=no, toilets:wheelchair=yes, toilets_access=community, toilets_access=family, toilets_access=public, toilets_access=unspecified, unisex=alternating, unisex=yes, wheelchair=limited, wheelchair=no, wheelchair=yes|sign=accessibility, sign=female, sign=male, sign=toilet, sign=unisex, sign=yes|Facility daily needs|Toilet / toilet compartment|signs at toilet rooms|gender, disabled: Men; Ladies; Unisex; Accessible|Accessibility#accessibleWith.wheelchair == false, Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Restroom#isAccessibleWithWheelchair, Restroom#signIcons, Restroom#toilet, Room#isAccessibleWithWheelchair
signs at toilet rooms|amenity=toilets, building=toilets, room=toilet, toilets=yes|sign=toilet, sign=yes|Facility daily needs|Toilet / toilet compartment|signs at toilet rooms|||Restroom#signIcons, Restroom#toilet
signs at toilet rooms are pictograms|amenity=toilets, building=toilets, pictogram=yes, room=toilet, toilets=yes|sign=pictogram, sign=toilet, sign=yes|Facility daily needs|Toilet / toilet compartment|signs at toilet rooms|pictogram [2]||Restroom#signIcons, Restroom#toilet
signs at toilet rooms written in raised characters|amenity=toilets, building=toilets, room=toilet, tactile_writing:braille:lg=yes, tactile_writing:computer_braille=yes, tactile_writing:embossed_printed_letters:lg=yes, tactile_writing:engraved_printed_letters:lg=yes, tactile_writing:fakoo:lg=yes, tactile_writing:moon:lg=yes, toilets=yes|sign=raised_text, sign=toilet, sign=yes|Facility daily needs|Toilet / toilet compartment|signs at toilet rooms|raised characters||EquipmentProperties#hasRaisedText, Restroom#signIcons, Restroom#toilet
similar copies of a feature can be found at the floors -4,0 and 4|repeat_on=-4;0;4|||||||
simple and horizontal grate covers sumps on pavement or in a street to catch storm water|inlet=grate|||||||
simple single-storey flat house|building=bungalow|||||||StructuredAddress#house
simple structure used as storage or workshop|building=shed|||||||
single dwelling unit|building=house|||||||
single parking space on a parking lot|amenity=parking_space|||||||
single small container for depositing garbage that is easily accessible for pedestrians|amenity=waste_basket|||||||
single-owner private garage|building=garage|||||||
sink|sink=yes|||||||
sink in relaxation room|room=relaxation, sink=yes||Facility daily needs|Relaxation room|sink|||
size of an obstacle: high, low, short or at ground level, human-sized|height=user defined, length=user defined, obstacle:wheelchair=limited, obstacle:wheelchair=no, obstacle:wheelchair=step, obstacle:wheelchair=yes, obstruction:type=armrest, obstruction:type=bar, obstruction:type=grille, obstruction:type=pole, obstruction:type=slope, obstruction:type=spikes, width=user defined|obstacle=ground_floor, obstacle:size=high, obstacle:size=low, obstacle:size=short, obstacle:size=human-sized|Building characteristics|Obstacles|size [3]|high, low, short or at ground level, human-sized||Pathways#widthAtObstacles
sketch/ground plan of the teaching room geometry|amenity=school amenity=university, building=school, building:part=school, building_plan=yes, information=map|room=teaching, sign=floor_plan|General help for orientation / Technical assistance|Technology|sketch/ground plan of the teaching room geometry|||
sketch/ground plan of the teaching room geometry with entrance, auditorium, lecturer's zone, wheelchair spaces|amenity=school amenity=university, building=school, building:part=school, building_plan=yes, entrance=yes, information=map,room=auditorium, room=lecture|clear_floor_space=yes, ground_plan=auditorium, ground_plan=clear_floor_space, ground_plan=entrance, ground_plan=lecture, ground_plan=wheelchair_space, room=teaching, sign=floor_plan|General help for orientation / Technical assistance|Technology|sketch/ground plan of the teaching room geometry|entrance, auditorium, lecturer's zone, wheelchair spaces|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
sketch/ground plan with dimensioning of the toilet / toilet compartment with additional photos to ensure accessibility|amenity=toilets, building=toilets, room=toilet, toilets=yes, toilets:wheelchair=yes, wheelchair=yes|ground_plan=dimension, ground_plan=toilet, ground_plan=photos, photos=accessibility|Facility daily needs|Toilet / toilet compartment|accessibility [4]|sketch/ground plan with dimensioning: (Please take additional photos!)|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Restroom#isAccessibleWithWheelchair, Restroom#toilet, Room#isAccessibleWithWheelchair
skylight window|window=skylight|||||||
sliding door|door=sliding||Building characteristics|Doorways|type [3]|sliding door||EquipmentProperties#door
slip-resistant exterior accessible route|access=yes, access:disabled=yes|route=accessible, slip-resistant=yes|Way to building|Exterior accessible route|condition [2]|slip-resistant [1]|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Stairs#hasAntiSlipNosing
slip-resistant floor (pathway)|highway=corridor, highway=footway, highway=path|slip-resistant=floor, slip-resistant=yes|Building characteristics|Floor (pathway)|condition [2]|slip-resistant [2]||Stairs#hasAntiSlipNosing
slope|incline=down, incline=up, obstruction:type=slope, incline=user defined, incline:across=down, incline:across=sag, incline:across=user defined, incline:avg=user defined||Change in Ground Height|Slope|slope [2]|||Entrance#slopeAngle, Ground#slopeAngle, Pathways#maxLateralSlope, Pathways#maxLongitudinalSlope
slope of curb ramp / curb cuts|incline=down, incline=up, obstruction:type=slope, incline=user defined, incline:across=down, incline:across=sag, incline:across=user defined, incline:avg=user defined, kerb=flush, kerb=lowered, kerb=no, kerb=raised, kerb=rolled, kerb=yes|kerb=slope|Way to building|Curb ramp / curb cuts|slope [3]|||Ground#slopeAngle, Pathways#maxLateralSlope, Pathways#maxLongitudinalSlope
slope of exterior accessible route|access=yes, access:disabled=yes, incline=down, incline=up, obstruction:type=slope, incline=user defined, incline:across=down, incline:across=sag, incline:across=user defined, incline:avg=user defined|route=accessible|Way to building|Exterior accessible route|slope [4]||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Ground#slopeAngle, Pathways#maxLateralSlope, Pathways#maxLongitudinalSlope
slope of floor (pathway)|highway=corridor, highway=footway, highway=path, incline=down, incline=up, obstruction:type=slope, incline=user defined, incline:across=down, incline:across=sag, incline:across=user defined, incline:avg=user defined||Building characteristics|Floor (pathway)|slope [5]|||Ground#slopeAngle, Pathways#maxLateralSlope, Pathways#maxLongitudinalSlope
slope of ramp|incline=down, incline=up, obstruction:type=slope, incline=user defined, incline:across=down, incline:across=sag, incline:across=user defined, incline:avg=user defined, ramp=yes, ramp:wheelchair=yes||Change in Ground Height|Ramp|slope [6]|||Ground#slopeAngle, Pathways#maxLateralSlope, Pathways#maxLongitudinalSlope
slope of ramp in percent %|incline=15%,ramp=yes||Building characteristics|Ramp|slope [6]|slope of ramp in %||Ground#slopeAngle, Pathways#maxLateralSlope, Pathways#maxLongitudinalSlope
slope on both sides of the doorway|door=yes, incline=down, incline=up, obstruction:type=slope, incline=user defined, incline:across=down, incline:across=sag, incline:across=user defined, incline:avg=user defined|door=slope|Building characteristics|Doorways|slope on both sides of the door|||Entrance#slopeAngle, EquipmentProperties#door, Ground#slopeAngle, Pathways#maxLateralSlope, Pathways#maxLongitudinalSlope
slope to accessible parking|access=yes, access:disabled=yes, amenity=parking, incline=down, incline=up, obstruction:type=slope, incline=user defined, incline:across=down, incline:across=sag, incline:across=user defined, incline:avg=user defined|accessible_parking=yes|Way to building|Accessible parking|slope [1]||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Ground#slopeAngle, Pathways#maxLateralSlope, Pathways#maxLongitudinalSlope, PlaceInfo#accessibility, WheelchairParking#count, WheelchairParking#distanceToEntrance, WheelchairParking#hasDedicatedSignage, WheelchairParking#isLocatedInside, WheelchairParking#length, WheelchairParking#location, WheelchairParking#maxVehicleHeight, WheelchairParking#neededParkingPermits, WheelchairParking#paymentBySpace, WheelchairParking#paymentByZone, WheelchairParking#width
slope with level ground or floor surface on both sides of the door|incline=down, incline=up, obstruction:type=slope, incline=user defined, incline:across=down, incline:across=sag, incline:across=user defined, incline:avg=user defined|door=ground_level|Building characteristics|Doorways|slope on both sides of the door|ground or floor surface should be level on both sides of the door [1]||Entrance#isLevel, Entrance#slopeAngle, EquipmentProperties#door, Ground#isLevel, Ground#slopeAngle, Pathways#maxLateralSlope, Pathways#maxLongitudinalSlope
small|building=shed, building=hut, building=kiosk, building=cabin|||||||
small billboard for neighbourhood advertising, generally intended for pedestrians, but some of them can be along roads. Some of them are open to any fly posters, and not private|advertising=board|||||||
small but tall building constructed to comprise a transformer and connect to an overhead power line|building=transformer_tower|||||||
small printing business which produces published works such as newspapers, books, magazines, etc.|craft=printer|||||||
small shop on the pavement that sells magazines, tobacco, newspapers, sweets and stamps|shop=kiosk|||||||
small shop that sells expensive or designer clothing and/or accessories|shop=boutique|||||||
small umanned building with certain machinery|building=service|||||||
smaller landing/ledge/border of doorway|height:threshold=user defined||Building characteristics|Doorways|smaller landing/ledge/border|||EquipmentProperties#door
smoking area|amenity=smoking_area||General help for orientation / Technical assistance|Rooms / venues / offices|type [15]|smoking area||PlaceInfo#category
smooth and uniform|step.condition=even|||||||Ground#evenPavement
smooth surface|surface=paving_stones|||||||Ground#evenPavement
smooth texture|texture=smooth|||||||
snowfaced with compacted snow|surface=snow|||||||
soap dispenser location: above lavatories or counters, not over an obstruction in toilet / toilet compartment|amenity=toilets, building=toilets, handwashing:soap=yes, obstacle:wheelchair=no, room=toilet, toilets=yes, toilets:wheelchair=yes|location=above, location=user defined|Facility daily needs|Toilet / toilet compartment|soap dispensers|location: above lavatories or counters, not over an obstruction [1]||Restroom#heightOfSoap, Restroom#toilet, WashBasin#accessibleWithWheelchair, WashBasin#height, WashBasin#isLocatedInsideRestroom
soap dispensers in toilet / toilet compartment|amenity=toilets, building=toilets, handwashing:soap=yes, room=toilet, toilets=yes||Facility daily needs|Toilet / toilet compartment|soap dispensers|||Restroom#heightOfSoap, Restroom#toilet
soap dispensers type: automatic / one-hand dispenser / other: ...|amenity=toilets, building=toilets, handwashing:soap=yes, room=toilet, toilets=yes|handwashing:soap=automatic, handwashing:soap=one-hand|Facility daily needs|Toilet / toilet compartment|soap dispensers|type: automatic / one-hand dispenser / other: ...||Restroom#heightOfSoap
sockets for electricity|socket:<type>=user defined, socket:<type>=yes||General help for orientation / Technical assistance|Rooms / venues / offices|sockets|for electricity||
sockets for phone|socket:<type>=user defined, socket:<type>=yes||General help for orientation / Technical assistance|Rooms / venues / offices|sockets|for phone||
sockets in rooms / venues / offices|indoor=room, room=office, socket:<type>=user defined, socket:<type>=yes||General help for orientation / Technical assistance|Rooms / venues / offices|sockets|||
sodium lamp|lamp_type=sodium|||||||
sodium-vapor lamp|light:method=sodium|||||||
sofa or couch|couch=yes||Movables|Furniture|type: seating|sofa or couch||
soft ground with low carrying capacity|surface=mud|||||||
soft track|tracktype=grade5|||||||
solarium|room=solarium|||||||StructuredAddress#room
solid objects in the hallway|highway=corridor, obstacle:wheelchair=limited, obstacle:wheelchair=no, obstacle:wheelchair=yes|obstruction:type=solid_object|Building characteristics|Floor (pathway)|solid objects in the hallway|||Pathways#widthAtObstacles
solid objects in the hallway / floor (pathway): yes, where... (mark in the floor plan) / no|highway=corridor, highway=footway, highway=path, obstacle:wheelchair=limited, obstacle:wheelchair=no, obstacle:wheelchair=yes|floor_plan=solid_object, location=user defined, |Building characteristics|Floor (pathway)|solid objects in the hallway|yes, where... (mark in the floor plan) / no||Pathways#widthAtObstacles
solid pilar(s)|barrier=bollard|||||||
solid track|tracktype=grade1|||||||
solid wall [is implicit in maps]|indoor=wall||Building characteristics|Wall|materiality|solid [is implicit in maps]||
some may still use it|vehicle=private, access:disabled=private|||||||
sometimes button operated|button_operated=sometimes|||||||
sound|sound=yes|||||||
sound level is high|sound_level=high|||||||
sound level is low|sound_level=low|||||||
sound level is medium|sound_level=medium|||||||
sound studio|room=sound studio|||||||StructuredAddress#room
space between two consecutive doorways|door=yes, length=user defined, width=user defined|clear_floor_space=no, clear_floor_space=yes|Building characteristics|Doorways|space between two consecutive doors|||Door#turningSpaceInFront, EquipmentProperties#door, Ground#turningSpace, Media#turningSpaceInFront
space for mobility aids/prams in the classroom|length=user defined, room=class, width=user defined|space=mobility_aid, space=pram|Building characteristics|Doorways|maneuvering clearance (clear floor space) on both sides of the door (pull/push): size (level no steeper than 1:48)|space for mobility aids/prams in the classroom||
spanning over a highway that enters a city or compound|building=gatehouse|||||||
specific drinking water fountain in Rome, IT|fountain=nasone, fontain=roman_wolf|||||||AnimalPolicy#suppliesWaterForPets
specific drinking water fountain in Torino, IT|fountain=toret|||||||AnimalPolicy#suppliesWaterForPets
specific locker for cellphones, eventually allowing charging|locker=phone|||||||
specifies a memorial as a blue plaque|memorial=blue_plaque|||||||
specifies a memorial as a bust|memorial=bust|||||||
specifies a memorial as a cross|memorial=cross|||||||
specifies a memorial as a ghost cycle: a white bicycle to commemorate a cyclist who died in traffic|memorial=ghost_bike|||||||
specifies a memorial as a plaque|memorial=plaque|||||||
specifies a memorial as a statue|memorial=statue|||||||
specifies a memorial as a stele|memorial=stele|||||||
specifies a memorial as a stolperstein|memorial=stolperstein|||||||
specifies a memorial as a stone|memorial=stone|||||||
specifies a memorial as a war memorial|memorial=war_memorial|||||||
specifies a memorial as an obelisk|memorial=obelisk|||||||
specifies memorial as a sculpture|memorial=sculpture|||||||
specifies that a feature does not offer public internet service|internet_access=no|||||||
specifies that a feature offers a computer with internet service|internet_access=terminal|||||||
specifies that a feature offers internet service through a wired connection (e.g. Ethernet)|internet_access=wired|||||||
specifies that a feature offers internet service to the public|internet_access=yes|||||||
specifies that a road is a driveway, typically leading to a residence or business|service=driveway|||||||
speech|speech_input:lg=yes, speech_output:lg=yes|||||||EquipmentProperties#hasSpeech
speech input exists|speech_input:lg=yes|||||||EquipmentProperties#hasSpeech
speech output exists|speech_output:lg=yes|||||||EquipmentProperties#hasSpeech
speech therapist, a health specialist who deals with speech, voice, swallowing or hearing impairment|healthcare=speech_therapist|||||||
spherical light source emits light in all directions|light:shape=spherical|||||||
Spikes on the ground preventing unauthorized access|barrier=spikes|||||||
splash pad or spray pool|fountain=splash_pad|||||||
spoken languages of staff||staff:lg=yes||||||Staff#spokenLanguages
sports centre is a distinct facility where sports take place within an enclosed area|leisure=sports_center|||||||
spout outlet of drinking fountain|fountain=drinking, fountain=drinking_fountain|spout_outlet=yes|Facility daily needs|Drinking fountain|spout outlet|||
spring control|control=spring|||||||
stables|room=stables|||||||StructuredAddress#room
staff can see visitors from inside|room=staff|staff=visitor||||||Staff#canSeeVisitorsFromInside
staff has free assistant for visitors||staff:assistant=yes||||||Staff#hasFreeAssistantForVisitors
staff room|room=staff|||||||StructuredAddress#room
stair handrail profile: oval / round / square / other: ...|handrail=both, handrail=center, handrail=left handrail=multiple, handrail=rigth, handrail=yes, handrail:center=no, handrail:center=yes, handrail:left=no, handrail:left=yes, handrail:right=no, handrail:right=yes, highway=steps, room=stairs, stairs=yes|handrail:profile=oval, handrail:profile=round, handrail:profile=square|Change Elevation|Stairs|handrail [3]|profile: oval / round / square / other: ...||Stairs#hasHandRail
stair in pews (seatings): yes / no||pew=stair, pew=no_stair, pew=yes|Movables|Seatings|pews|stair in pews: yes / no||
stair lift|stair_lift=yes||Change Elevation|Stairs|stair lift|||
stair with step marking: yes, all steps / no / integrated / retrofitted (temporary) / moved back|highway=steps, room=stairs, stairs=yes, step:contrast=bad, step:contrast=no, step:contrats=yes|stair:marking=all_steps, stair:marking=integrated, stair:marking=moved_back, stair:marking=no, stair:marking=retrofitted, stair:marking=yes|Change Elevation|Stairs|step marking|yes, all steps / no / integrated / retrofitted (temporary) / moved back||Stairs#hasHighContrastNosing, Stairs#stepHeight
staircase|escalator=no, escalator=parallel, highway=steps, room=stairs, stairs=yes||Change Elevation|Stairs|type [4]|(ZP: intermediate platform) single-running straight / single-running, two quarter-twisted / single-running, half-winded / single-running, in the beginning quarter-twisted / double-running straight with ZP / double-running counter-running with ZP / double-running angled with ZP / triple-running counter-running with ZP / arched staircase / spiral staircase / spiral staircase / triple-running twice angled||Entrance#stairs, Stairs#alternativeMobileEquipmentIds, Stairs#count, Stairs#hasAntiSlipNosing, Stairs#hasBrailleNavigation, Stairs#hasHandRail, Stairs#hasHighContrastNosing, Stairs#hasTactileSafetyStrips, Stairs#name, Stairs#stepHeight
staircase clearance height in cm|height=user defined, highway=steps, room=stairs, stairs=yes|clearance:height=user defined|Change Elevation|Stairs|staircase clearance height in cm|||Stairs#stepHeight
stairs alternative mobile equipment Ids|highway=steps, room=stairs, stairs=yes|equipment:mobile=user defined, ID=user defined||||||Stairs#alternativeMobileEquipmentIds
stairs at entrance|entrance=staircase, entrance=yes|||||||Entrance#stairs, Stairs#alternativeMobileEquipmentIds, Stairs#count, Stairs#hasAntiSlipNosing, Stairs#hasBrailleNavigation, Stairs#hasHandRail, Stairs#hasHighContrastNosing, Stairs#hasTactileSafetyStrips, Stairs#name, Stairs#stepHeight
stairs exist|highway=steps, room=stairs, stairs=yes||Change Elevation|Stairs|existence [3]|||Entrance#stairs, Stairs#alternativeMobileEquipmentIds, Stairs#count, Stairs#hasAntiSlipNosing, Stairs#hasBrailleNavigation, Stairs#hasHandRail, Stairs#hasHighContrastNosing, Stairs#hasTactileSafetyStrips, Stairs#name, Stairs#stepHeight
stairs exist in field of attention|highway=steps, room=stairs, stairs=yes|attention_field=yes|Change Elevation|Stairs|field of attention|existence [11]||
stairs have anti slip nosing|highway=steps,room=stairs, stairs=yes|nosing=anti-slip||||||Stairs#hasAntiSlipNosing
stairs have braille navigation|braille=yes, highway=steps, information=tactile_map, room=stairs, stairs=yes, tactile_writing:braille:lg=yes, tactile_writing:computer_braille:lg=yes|braille=navigation||||||Stairs#hasBrailleNavigation
stairs have high contrast nosing|highway=steps, room=stairs, stairs=yes|high_contrast=yes, stair_nosing=yes||||||Stairs#hasHighContrastNosing
stairs have tactile safety strips|highway=steps, room=stairs, stairs=yes|tactile:safety_strips=yes||||||Stairs#hasTactileSafetyStrips
stairs in field of attention|highway=steps, room=stairs, stairs=yes|attention_field=yes|Change Elevation|Stairs|field of attention|||
stairs lead to following levels / levels connected|highway=steps, level=user defined, room=stairs, stair=yes||Change Elevation|Stairs|where do the steps/stairs lead to|stairs lead to following levels / levels connected||Stairs#alternativeMobileEquipmentIds, Stairs#count, Stairs#hasAntiSlipNosing, Stairs#hasBrailleNavigation, Stairs#hasHandRail, Stairs#hasHighContrastNosing, Stairs#hasTactileSafetyStrips, Stairs#name, Stairs#stepHeight
stairs step height|step.height=user defined|||||||Stairs#stepHeight
stairs with an open structure such as hanging or floating stairs; cantilever stairs|highway=steps, room=stairs, stairs=yes|stairs=cantilever, stairs=floating, stairs=hanging|Change Elevation|Stairs|type / shape|stairs with an open structure such as hanging or floating stairs; cantilever stairs||
stairs with assistive mechanism available|handrail=both, handrail=center, handrail=left, handrail=multiple, handrail=no, handrail=none, handrail=rigth, handrail=yes, handrail:center=no, handrail:center=yes, handrail:left=no, handrail:left=yes, handrail:right=no, handrail:right=yes, highway=steps, room=stairs, stairs=yes|stairs=assistance|Change Elevation|Stairs|assistive mechanism available|||Stairs#hasHandRail
stairs with full offset|stairs:type=full_offset|||||||
stairs with furnished/equipped recreational and communication areas|highway=steps, room=stairs, stairs=yes|stairs=communication, stairs=equipped, staors=furnished, stairs=recreational|Change Elevation|Stairs|furnished/equipped recreational and communication areas|||
stairs with handrail|handrail=both, handrail=center, handrail=left, handrail=multiple, handrail=no, handrail=none, handrail=rigth, handrail=yes, handrail:center=no, handrail:center=yes, handrail:left=no, handrail:left=yes, handrail:right=no, handrail:right=yes, highway=steps, room=stairs, stairs=yes||Change Elevation|Stairs|handrail [3]|||Stairs#hasHandRail
stairs with handrail brackets: bottom side with wall mounting / bottom side with floor anchoring / lateral|handrail=both, handrail=center, handrail=left, handrail=multiple, handrail=no, handrail=none, handrail=rigth, handrail=yes, handrail:center=no, handrail:center=yes, handrail:left=no, handrail:left=yes, handrail:right=no, handrail:right=yes, highway=steps, room=stairs, stairs=yes|handrail_bracket=bottom_side, handrail_bracket=floor, handrail_bracket=lateral, handrail_bracket=wall|Change Elevation|Stairs|handrail [3]|handrail brackets: bottom side with wall mounting / bottom side with floor anchoring / lateral||Stairs#hasHandRail
stairs with protection against underrunning |highway=steps, room=stairs, stairs = yes|underruning=no|Change Elevation|Stairs|protection against underrunning|||
stairwell|highway=steps, room=stairs, stairs=yes||Change Elevation|Stairs|stairwell|||Stairs#alternativeMobileEquipmentIds, Stairs#count, Stairs#hasAntiSlipNosing, Stairs#hasBrailleNavigation, Stairs#hasHandRail, Stairs#hasHighContrastNosing, Stairs#hasTactileSafetyStrips, Stairs#name, Stairs#stepHeight
standard stairs|stairs:type=standard|||||||Stairs#alternativeMobileEquipmentIds, Stairs#count, Stairs#hasAntiSlipNosing, Stairs#hasBrailleNavigation, Stairs#hasHandRail, Stairs#hasHighContrastNosing, Stairs#hasTactileSafetyStrips, Stairs#name, Stairs#stepHeight
standing / sitting usage position of drinking fountain|fountain=drinking, fountain=drinking_fountain|fountain=sitting, fountain=standing|Facility daily needs|Drinking fountain|usage position|standing / sitting||
standing funiture: wardrobe, closet, locker, cupboard, shelf, book case, drawer or dresser|amenity=locker, bookshelf=yes, closet=janitor, locker=bicycle, locker=food, locker=handbag, locker=luggage, locker=phone, locker=wardrobe, locker=yes, public_bookcase:type=building, public_bookcase:type=fridge, public_bookcase:type=glass_cabinet, public_bookcase:type=metal_cabinet, public_bookcase:type=movable_cabinet, public_bookcase:type=phone_box, public_bookcase:type=reading_box, public_bookcase:type=sculpture, public_bookcase:type=shelf, public_bookcase:type=shelter, public_bookcase:type=wooden_box, public_bookcase:type=wooden_cabinet, shelf=yes, wardrobe=yes|bookcase:type=building, bookcase:type=fridge, bookcase:type=glass_cabinet, bookcase:type=metal_cabinet, bookcase:type=movable_cabinet, bookcase:type=phone_box, bookcase:type=reading_box, bookcase:type=sculpture, bookcase:type=shelf, bookcase:type=shelter, bookcase:type=wooden_box, bookcase:type=wooden_cabinet, bookcase=yes, closet=yes, cupboard=yes, drawer=yes, dresser=yes, furniture=standing|Movables|Furniture|type: standing|wardrobe, closet, locker, cupboard, shelf, book case, drawer or dresser||
state explanation||state=user defined||||||EquipmentProperties#stateExplanation
state last update||last_update=date, last_update=2011-11-22||||||EquipmentProperties#stateLastUpdate
static anti-tank obstacle|barrier=tank_trap|||||||
station concourse|room=station concourse|||||||
station is an area designed to access public transport|public_transport=station|||||||
station that supplies energy to electrical vehicles|amenity=charging_station|||||||
step count to doorway level|door=yes, highway=steps, room=stairs, stairs=yes, step_count=user defined|door=level|Building characteristics|Doorways|level [1]|step counts||Entrance#stairs, Shower#step, Stairs#count
step height / step depth in cm|depth_step=user defined, height=user defined, highway=steps, length=user defined, room=stairs, stairs=yes, step.height=user defined, width=user defined||Change Elevation|Stairs|dimension [3]|step height, depth in cm||Shower#step, Stairs#stepHeight
step height of only one step|highway=steps, room=stairs, stairs=yes, step.height=15||Building characteristics|Doorways|step height (only one)|||Shower#step, Stairs#stepHeight
step height of only step to doorway level|highway=steps, room=stairs, stairs=yes, step.height=15|door=level|Building characteristics|Doorways|level [1]|step height (only one)||Entrance#stairs, Shower#step
step is 0.3 m deep|depth_step=0.3, highway=steps, room=stairs, stairs=yes|||||||Shower#step
step is 10 cm high|highway=steps, room=stairs, stairs=yes, wheelchair:step_height=10|||||||Shower#step, Stairs#stepHeight
step marking height riser in cm|highway=steps, room=stairs, stairs=yes, step.height=15, step.length=15|step_marking=height_riser|Change Elevation|Stairs|step marking|marking height riser in cm||Stairs#stepHeight
step marking of stairs|highway=steps, room=stairs, stairs=yes|step=marking|Change Elevation|Stairs|step marking|||Stairs#stepHeight
Step material helps to see where they are, but are dirty and not so visible|step:contrast=bad|high_contrast=no||||||
steps counts to doorway|door=yes, step_count=5||Building characteristics|Doorways|steps counts|||Entrance#stairs, Shower#step
steps have the specific painting|step:contrast=yes|steps:specific_painting=yes|Change Elevation|Stairs|visual contrast|||Stairs#hasHighContrastNosing
stone edging to a pavement or raised path|barrier=kerb|||||||
stone on stone, mostly castles etc.|floor:material=stone|||||||
storage|storage=yes|||||||StructuredAddress#room
storage space in lecturer zone: yes / no|room=lecture, storage=yes|storage=no|General help for orientation / Technical assistance|Rooms / venues / offices|lecturer zone|storage space: yes / no||
store specializing in the sale of books, although it may also sell other printed publications, such as newspapers and magazines|shop=books|||||||
store that primarily sells recorded music (vinyl/CDs)|shop=music|||||||
store that sells items in bulk|shop=wholesale|||||||
store that sells swimming pool equipment and supplies|shop=swimming_pool|||||||
store that sells tiles|shop=tiles|||||||
store where you can buy and/or repair your bike and buy accessories|shop=bicycle|||||||
store where you can buy fishing equipment|shop=fishing|||||||
store where you can buy medical equipment for private persons|shop=medical_supply|||||||
stores selling security equipment: surveillance cameras, firefighting equipment, alarm systems, warning systems, etc.|shop=security|||||||
stove as heat source|heating=stove|||||||
strong room|room=strong|||||||StructuredAddress#room
structure for planting flowers or other ornamental plants|man_made=planter|||||||
structure intended to protect roads and railways from avalanche in mountains|tunnel=avalanche_protector|||||||
structure of stairs: dimension of platform width/depth: no platform / steps... platform... steps... platform ... etc.|height=user defined, highway=steps, length=user defined room=platform, room=stairs, stairs=yes, step_count=user defined, width=user defined|platform=user defined, stairs=platform|Change Elevation|Stairs|dimension [3]|platform width/depth: no platform / steps... platform... steps... platform ... etc.||Stairs#stepHeight
structure of stairs: number of steps: no platform / steps... platform... steps... platform ... etc.|highway=steps, room=platform, room=stairs, stairs=yes, step_count=user defined|user defined, stairs=platform|Change Elevation|Stairs|dimension [3]|number of steps: no platform / steps... platform... steps... platform ... etc.||Stairs#count, Stairs#stepHeight
structure purpose-built for parking cars|building=parking|||||||WheelchairParking#count, WheelchairParking#hasDedicatedSignage, WheelchairParking#isLocatedInside, WheelchairParking#length, WheelchairParking#location, WheelchairParking#maxVehicleHeight, WheelchairParking#neededParkingPermits, WheelchairParking#paymentBySpace, WheelchairParking#paymentByZone, WheelchairParking#width
structure that holds back soil or rock|barrier=retaining_wall|||||||
structure which provides people a passage through or over a boundary via steps, ladders or narrow gaps|barrier=stile|||||||
structured address city|addr:city=user defined|||||||StructuredAddress#city
structured address country code|addrcountry=user defined|||||||StructuredAddress#countryCode
structured address county|addr:count=user defined|||||||StructuredAddress#county
structured address district|addr:district=user defined|||||||StructuredAddress#district
structured address house|addr:housename=user defined, addr:housenumber=user defined|||||||StructuredAddress#house
structured address level|addr:floor=user defined|||||||StructuredAddress#level
