Name|Semantic tags|OSM tag|OSM tag proposal|AccessibleMaps Categories|AccessibleMaps Entities|AccessibleMaps Property|AccessibleMaps Sub-Property|A11yJSON tag|A11yJSON property
place where passengers are waiting for the public transport vehicles|<TRS>|public_transport=platform|||||||
concrete block wall|<WALL>|wall=concrete_block|||||||
concrete wall|<WALL>|wall=concrete|||||||
dangerous glass wall|<WALL>|danger=yes, material=glass, wall=yes||Building characteristics|Wall|materiality|glass [danger]||
distance to wall or partition|<WALL>|length=user defined, wall=yes||Facility daily needs|Toilet / toilet compartment|water closet|distance to wall or partition||
flint cobbled wall|<WALL>|wall=flint|||||||
danger|<WARN>|danger=yes|||||||
danger: toxic|<WARN>|danger=toxic|||||||
Dangerous area / point: hot to burn oneself|<WARN>|danger=yes||Building characteristics|Dangerous area / point|type: hot to burn oneself|||
furniture type: dangerous / orientation point|<WARN>|danger=high, danger=yes, reference_point=yes||Movables|Furniture|type: dangerous/orientation point|||
high danger|<WARN>|danger=high|||||||
high risk|<WARN>|risk=high|||||||
maximum time you are allowed to stay is 30 minutes|<WARN>|maxstay=30 minutes|||||||
maximum time you are allowed to stay somewhere|<WARN>|maxstay=user defined|||||||
sensor triggers alarm|<WARN>|sensor:triggers=alarm|||||||
usage is officially discouraged|<WARN>|access=discouraged|||||||
at least one toilet room accessible|<WC>|access=yes, access:disabled=yes, bulding=toilets, room=toilet, toilets=yes, toilets_access=community, toilets_access=unspecified, toilets_access=public, toilets:wheelchair=yes||Facility daily needs|Toilet / toilet compartment|accessibility [4]|at least one toilet room accessible|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Restroom#isAccessibleWithWheelchair, Restroom#toilet, Room#isAccessibleWithWheelchair
multiple WC in toilet|<WC>|toilets:num_chambers=user defined, toilets:number=user defined||Facility daily needs|Toilet / toilet compartment|description [1]|multiple WC||Restroom#toilet
access to toilet / toilet compartment|<WC>|access=yes, amenity=toilets, building=toilets, room=toilet, toilets=yes, toilets_access=community, toilets_access=public, toilets:wheelchair=yes||Facility daily needs|Toilet / toilet compartment|access [3]|||Restroom#toilet
accessible toilet / toilet compartment|<WC>|access=yes, amenity=toilets, building=toilets, room=toilet, toilets=yes, toilets_access=community, toilets_access=public, toilets:wheelchair=yes, wheelchair=yes||Facility daily needs|Toilet / toilet compartment|accessibility [4]||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Restroom#isAccessibleWithWheelchair, Restroom#toilet, Room#isAccessibleWithWheelchair
accessible toilet / toilet compartment for people with disabilities|<WC>|access=yes, access:disabled=yes, amenity=toilets, building=toilets, room=toilet, toilets=yes, toilets_access=community, toilets_access=public, toilets:wheelchair=yes, wheelchair=yes||Facility daily needs|Toilet / toilet compartment|access [3]|people with disabilities|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Restroom#isAccessibleWithWheelchair, Restroom#toilet, Room#isAccessibleWithWheelchair
accessible toilet height|<WC>|access=yes, access:disabled=yes, amenity=toilets, building=toilets, height=0.47, room=toilet, toilets=yes, toilets_access=community, toilets_access=public, toilets:wheelchair=yes, wheelchair=yes||Facility daily needs|Toilet / toilet compartment|accessibility [4]|toilet height|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Restroom#isAccessibleWithWheelchair, Restroom#toilet, Room#isAccessibleWithWheelchair, Toilet#heightOfBase
alternative use of toilet compartment|<WC>|amenity=toilets, building=toilets, room=toilet, toilets=yes|alternative_use=yes|Facility daily needs|Toilet / toilet compartment|accessibility [4]|alternative use||Restroom#toilet
annotations about toilet / toilet compartment|<WC>|building=toilets, room=toilet, toilets=yes|annotations=user defined, annotations=yes|Facility daily needs|Toilet / toilet compartment|annotations|||Restroom#toilet
approachability of the water closet: on both sides / only left / only right|<WC>|access:disabled=yes, height=user defined, length=user defined, width=user defined, wheelchair=yes|clear_floor_space=yes, water_closet=yes|Facility daily needs|Toilet / toilet compartment|water closet|approachability: on both sides / only left / only right|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Pathways#widthAtObstacles, PlaceInfo#accessibility, Restroom#toilet, Room#isAccessibleWithWheelchair, Toilet#heightOfBase, Toilet#spaceInFront, Toilet#spaceOnUsersLeftSide, Toilet#spaceOnUsersRightSide
area next to WC in cm: left: ... / right: ... (Note: if you stand in front of the WC and look at it, then the left or right side)|<WC>|building=toilets, length=user defined, room=toilet, toilets=yes, toilets_access=community, toilets_access=public, width=user defined|clear_floor_space=yes|Facility daily needs|Toilet / toilet compartment|water closet|area next to WC in cm: left: ... / right: ... (Note: if you stand in front of the WC and look at it, then the left or right side)||Ground#turningSpace, Media#turningSpaceInFront, PlaceInfo#accessibility, Restroom#toilet, Restroom#turningSpaceInside, Toilet#spaceInFront, Toilet#spaceOnUsersLeftSide, Toilet#spaceOnUsersRightSide
barrier-free lateral approach of toilet in cm|<WC>|access=yes, access:disabled=designated, access:disabled=only, access:disabled=permissive, access:disabled=private, acces:disabled=yes, building=toilets, length=user defined, room=toilet, toilets=yes, toilets:wheelchair=yes, width=user defined|clear_floor_space=yes|Facility daily needs|Toilet / toilet compartment|water closet|barrier-free lateral approach in cm [2]|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Ground#turningSpace, Media#turningSpaceInFront, PlaceInfo#accessibility, Restroom#isAccessibleWithWheelchair, Restroom#toilet, Restroom#turningSpaceInside, Room#isAccessibleWithWheelchair, Toilet#spaceInFront, Toilet#spaceOnUsersLeftSide, Toilet#spaceOnUsersRightSide
unisex toilets to be used by genders alternatingly|<WC>|unisex=alternating|||||||
clear floor space in lavatories|<WC>|amenity=toilets, building=toilets, height=user defined, length=user defined, room=toilet, toilets=yes, toilets:wheelchair=yes, width= user defined|clear_floor_space=yes|Facility daily needs|Toilet / toilet compartment|lavatories|clear floor space|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Ground#turningSpace, Media#turningSpaceInFront, PlaceInfo#accessibility, Restroom#isAccessibleWithWheelchair, Restroom#toilet, Restroom#turningSpaceInside, Room#isAccessibleWithWheelchair, Toilet#spaceInFront, Toilet#spaceOnUsersLeftSide, Toilet#spaceOnUsersRightSide, WashBasin#accessibleWithWheelchair, WashBasin#spaceBelowDepth, WashBasin#spaceBelowHeight
clearance around the water closet|<WC>|amenity=toilets, building=toilets, height=user defined, length=user defined, room=toilet, toilets=yes, toilets:wheelchair=yes, width= user defined|clear_floor_space=yes|Facility daily needs|Toilet / toilet compartment|water closet|clearance around the closet|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Restroom#isAccessibleWithWheelchair, Restroom#toilet, Restroom#turningSpaceInside, Room#isAccessibleWithWheelchair, Toilet#spaceInFront, Toilet#spaceOnUsersLeftSide, Toilet#spaceOnUsersRightSide
depth/distance to an electric hand dryer|<WC>|depth=user defined, toilets:hands_drying=electric_hand_dryer||Facility daily needs|Toilet / toilet compartment|hand dryers|depth [5]||Restroom#heightOfDrier
depth/distance to soap dispenser|<WC>|depth=user defined, handwashing:soap=yes||Facility daily needs|Toilet / toilet compartment|soap dispensers|depth [4]||Restroom#heightOfSoap
depth: depending on the water closet mounting|<WC>|building=toilets, depth=user defined, room=toilet, toilets=yes||Facility daily needs|Toilet / toilet compartment|dimension [6]|depth: depending on the water closet mounting||EquipmentProperties#cabinLength, EquipmentProperties#cabinWidth, Restroom#toilet
description of toilet / toilet compartment|<WC>|blind:description:lg=user defined, building=toilets, deaf:description:lg=user defined, description=user defined, room=toilet, toilets=yes, wheelchair:description:lg=user defined||Facility daily needs|Toilet / toilet compartment|description [1]|||EquipmentProperties#description, EquipmentProperties#longDescription, EquipmentProperties#shortDescription, PlaceInfo#description, Restroom#toilet
toilet device that dehydrates waste into dry matter|<WC>|toilets:disposal=dry_toilet|||||||
dimension of toilet / toilet compartment|<WC>|building=toilets, height=user defined, length=user defined, room=toilet, toilets=yes, width=user defined||Facility daily needs|Toilet / toilet compartment|dimension [6]|||EquipmentProperties#cabinLength, EquipmentProperties#cabinWidth, Restroom#toilet, Toilet#heightOfBase, Toilet#spaceInFront, Toilet#spaceOnUsersLeftSide, Toilet#spaceOnUsersRightSide
disinfectant dispenser in toilet / toilet compartment|<WC>|building=toilety, handwashing:hand_disinfectant=yes, room=toilet, toilets=yes||Facility daily needs|Toilet / toilet compartment|disinfectant dispenser|||Restroom#toilet
distance to front of water closet|<WC>|length=user defined|water_closet=yes|Facility daily needs|Toilet / toilet compartment|toilet paper dispenser|distance to front of water closet||Restroom#toilet
drinking water in toilet / toilet compartment|<WC>|amenity=drinking_water, amenity=toilets, building=toilets, room=toilet, toilets=yes||Facility daily needs|Toilet / toilet compartment|drinking water|||Restroom#toilet
ease of operation of the facet: force|<WC>|usability=yes|force=not_needed, force=needed|Facility daily needs|Toilet / toilet compartment|lavatories|ease of operation of the facet: force||
ease of operation of the facet: no tight grasping, pinching, or twisting of the wrist|<WC>|usability=yes|grasping=accessible, grasping=tight, pinching=no, pinching=yes, wrist_twisting=no, wrist_twisting=yes|Facility daily needs|Toilet / toilet compartment|lavatories|ease of operation of the facet: no tight grasping, pinching, or twisting of the wrist||
ease of use of the flush control: no tight grasping, pinching, or twisting of the wrist|<WC>|toilets:disposal=flush, usability=yes|flush_control=accessible, grasping=accessible, grasping=tight, pinching=no, pinching=yes, wrist_twisting=no, wrist_twisting=yes|Facility daily needs|Toilet / toilet compartment|flush control|ease of use: no tight grasping, pinching or twisting of the wrist [2]||
ease of use of the hand dryers: no tight grasping, pinching, or twisting of the wrist|<WC>|toilets:hands_drying=electric_hand_dryer, toilets:hands_drying=paper_towel, toilets:hands_drying=towel, usability=yes|grasping=accessible, grasping=tight, pinching=no, pinching=yes, wrist_twisting=no, wrist_twisting=yes|Facility daily needs|Toilet / toilet compartment|hand dryers|ease of use: no tight grasping, pinching or twisting of the wrist [1]||
ease of use, force required to activate hand dryers|<WC>|toilets:hands_drying=electric_hand_dryer, toilets:hands_drying=paper_towel, toilets:hands_drying=towel, usability=no|force=needed|Facility daily needs|Toilet / toilet compartment|hand dryers|ease of use: force required to activate||
ease of use, force required to use flush control|<WC>|toilets:disposal=flush, usability=no|flush_control=accessible, force=needed|Facility daily needs|Toilet / toilet compartment|flush control|ease of use: force||Restroom#toilet
emergency button in the Toilet / toilet compartment|<WC>|amenity=toilets, building=toilets, room=toilet, toilets=yes|emergency=button|Facility daily needs|Toilet / toilet compartment|emergency call|emergency button||Restroom#toilet
emergency call in the toilet / toilet compartment is accessible from the floor: yes / no|<WC>|amenity=toilets, building=toilets, height=user defined, room=toilet, toilets=yes|emergency_call=no, emergency_call=yes|Facility daily needs|Toilet / toilet compartment|emergency call|accessible from the floor: yes / no|Accessibility#accessibleWith.wheelchair == false, Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Restroom#toilet
emergency call in the toilet / toilet compartment is accessible from the WC sitting: yes / no|<WC>|amenity=toilets, building=toilets, height=user defined, length=user defined, room=toilet, toilets=yes, width=user defined|emergency_call=no, emergency_call=yes|Facility daily needs|Toilet / toilet compartment|emergency call|accessible from the WC sitting: yes / no|Accessibility#accessibleWith.wheelchair == false, Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Restroom#toilet
emergency call in toilet / toilet compartment|<WC>|amenity=toilets, building=toilets, room=toilet, toilets=yes|emergency_call=no, emergency_call=yes|Facility daily needs|Toilet / toilet compartment|emergency call|||Restroom#toilet
emergency light in toilet / toilet compartment|<WC>|amenity=toilets, building=toilets, light:category=emergency, room=toilet, toilets=yes||Facility daily needs|Toilet / toilet compartment|emergency light|||Restroom#toilet
family-friendly toilets|<WC>|toilets_access=family||||||Restroom#toilet|
flush control in toilet / toilet compartment|<WC>|control=automatic;remote, control=buttons, control=manual, control=manual;local, control=manual_locked, control=manual;remote, control=remote, control=remote_electric, control=spring, toilets:disposal=flush||Facility daily needs|Toilet / toilet compartment|flush control|||Restroom#toilet
foldable handle bars near water closet in toilet / toilet compartment|<WC>|toilets:wheelchair=yes||Facility daily needs|Toilet / toilet compartment|water closet|[handle bars:] foldable|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, FoldingHandles#distanceBetweenHandles, FoldingHandles#topHeightFromFloor, FoldingHandles#onUsersLeftSide, FoldingHandles#onUsersRightSide, PlaceInfo#accessibility, Restroom#isAccessibleWithWheelchair, Restroom#toilet, Room#isAccessibleWithWheelchair, Toilet#foldingHandles, Toilet#hasFoldingHandles
folding handles on users left side|<WC>||grab_bar=yes, grab_bar:left=yes||||||FoldingHandles#onUsersLeftSide, Toilet#foldingHandles, Toilet#hasFoldingHandles
folding handles on users right side|<WC>||grab_bar=yes, grab_bar:right=yes||||||FoldingHandles#onUsersRightSide, Toilet#foldingHandles, Toilet#hasFoldingHandles
hand dryer location: above lavatories or counters, not over an obstruction in a toilet / toilet compartment|<WC>|amenity=toilets, building=toilets, room=toilet, toilets=yes, toilets:hands_drying=electric_hand_dryer, toilets:hands_drying=paper_towel, toilets:hands_drying=towel|toilets:hand_drying:location=above_counter, toilets:hand_drying:location=above_lavatory|Facility daily needs|Toilet / toilet compartment|hand dryers|location: above lavatories or counters, not over an obstruction [2]||Restroom#heightOfDrier, Restroom#toilet, WashBasin#accessibleWithWheelchair, WashBasin#height, WashBasin#spaceBelowDepth, WashBasin#spaceBelowHeight
hand dryer type: Paper / hairdryer / cloth towel / no / other: ...|<WC>|toilets:hand_drying=electric_hand_dryer, toilets:hands_drying=paper_towel, toilets:hand_drying=towel||Facility daily needs|Toilet / toilet compartment|hand dryers|type: Paper / hairdryer / cloth towel / no / other: ...||
hand dryers in toilet / toilet compartment|<WC>|amenity=toilets, building=toilets, room=toilet, toilets=yes, toilets:hand_drying=electric_hand_dryer, toilets:hands_drying=paper_towel, toilets:hand_drying=towel||Facility daily needs|Toilet / toilet compartment|hand dryers|||Restroom#heightOfDrier, Restroom#toilet
height of accessible toilet / toilet compartment|<WC>|access=yes, amenity=toilets, building=toilets, height=user defined, room=toilet, toilets=yes, toilets_access=community, toilets_access=public, toilets:wheelchair=yes||Facility daily needs|Toilet / toilet compartment|accessibility [4]|height [2]|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Restroom#isAccessibleWithWheelchair, Restroom#toilet, Room#isAccessibleWithWheelchair, Toilet#heightOfBase
height of flush control in a toilet / toilet compartment|<WC>|heigth=user defined, toilets:disposal=flush||Facility daily needs|Toilet / toilet compartment|flush control|height [25]||EquipmentProperties#heightOfControls, Restroom#toilet
height of hand dryers in a toilet / toilet compartment|<WC>|heigth=user defined, toilets:hands_drying=electric_hand_dryer, toilets:hands_drying=paper_towel, toilets:hands_drying=towel||Facility daily needs|Toilet / toilet compartment|hand dryers|height [22]||Restroom#heightOfDrier, Restroom#toilet
height of lavatory toe clearance|<WC>|amenity=toilets, building=toilets, height=user defined, room=toilet, toilets=yes|height:lavatory_toe_clearance=user defined|Facility daily needs|Toilet / toilet compartment|lavatories|height of toe clearance||Restroom#toilet, WashBasin#accessibleWithWheelchair, WashBasin#height, WashBasin#spaceBelowHeight
height of paper supply/towel dispenser in a toilet / toilet compartment|<WC>|amenity=toilets, building=toilets, height=user defined, room=toilet, toilets=yes, toilets:hand_drying=electric_hand_dryer, toilets:hands_drying=paper_towel, toilets:hand_drying=towel||Facility daily needs|Toilet / toilet compartment|paper supply/towel dispenser|height [23]||Restroom#heightOfDrier, Restroom#toilet
height of soap dispensers in a toilet / toilet compartment|<WC>|amenity=toilets, building=toilets, handwashing:soap=yes, height=user defined, room=toilet, toilets=yes|handwashing:soap:height=user defined, height:soap=user defined|Facility daily needs|Toilet / toilet compartment|soap dispensers|height [21]||Restroom#heightOfSoap, Restroom#toilet
height of toilet paper dispenser in toilet / toilet compartment|<WC>|amenity=toilets, building=toilets, height=user defined, room=toilet, toilets=yes, toilets:paper_supplied=yes|toilets:paper_supplied:height=user defined|Facility daily needs|Toilet / toilet compartment|toilet paper dispenser|height [26]|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Restroom#toilet
international symbol of accessibility sign at toilet room|<WC>|access=yes, amenity=toilets, building=toilets, room=toilet, toilets=yes, toilets_access=community, toilets_access=public, toilets:wheelchair=yes|sign=accessibility, symbol=international|Facility daily needs|Toilet / toilet compartment|signs at toilet rooms|international symbol of accessibility|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Restroom#isAccessibleWithWheelchair, Restroom#signIcons, Restroom#toilet, Room#isAccessibleWithWheelchair
it is not possible to wash hands|<WC>|toilets:handwashing=no|||||||
it is not possible to wash hands with soap|<WC>|handwashing:soap=no|||||||
it is possible to wash hands|<WC>|toilets:handwashing=yes|||||||Restroom#washBasin
it is possible to wash hands with soap|<WC>|handwashing:soap=yes|||||||Restroom#heightOfSoap, Restroom#washBasin
laboratory|<WC>|room=laboratory||General help for orientation / Technical assistance|Rooms / venues / offices|type [15]|laboratory||PlaceInfo#category, StructuredAddress#room
lavatories exist|<WC>||lavatory=yes|Facility daily needs|Toilet / toilet compartment|lavatories|existence [13]||Restroom#toilet, WashBasin#accessibleWithWheelchair, WashBasin#height, WashBasin#isLocatedInsideRestroom, WashBasin#spaceBelowDepth, WashBasin#spaceBelowHeight
lavatories in toilet / toilet compartment|<WC>|amenity=toilets, building=toilets, room=toilet, toilets=yes|lavatory=yes|Facility daily needs|Toilet / toilet compartment|lavatories|||Restroom#toilet, WashBasin#accessibleWithWheelchair, WashBasin#height, WashBasin#isLocatedInsideRestroom, WashBasin#spaceBelowDepth, WashBasin#spaceBelowHeight
lavatory type: lever / non-contact / rotary knob / pusher / other: ...|<WC>|handle=lever, handle=no, handle=wheel|lavatory=lever, lavatory=non-contact, lavatory=rotary_knob, lavatory=pusher, lavatory=yes|Facility daily needs|Toilet / toilet compartment|lavatories|type: lever / non-contact / rotary knob / pusher / other: ...||Restroom#toilet, WashBasin#accessibleWithWheelchair, WashBasin#isLocatedInsideRestroom, WashBasin#spaceBelowDepth, WashBasin#spaceBelowHeight
max height of the front of lavatory or counter surface, whichever is higher in toilet / toilet compartment|<WC>|amenity=toilets, building=toilets, height=user defined, room=toilet, toilets=yes|counter=yes, lavatory=yes, maximum_height=user defined|Facility daily needs|Toilet / toilet compartment|lavatories|max height of the front of lavatory or counter surface, whichever is higher||Restroom#toilet, WashBasin#accessibleWithWheelchair, WashBasin#height, WashBasin#isLocatedInsideRestroom, WashBasin#spaceBelowHeight
mirror height in toilet / toilet compartment|<WC>|amenity=toiltets, building=toilets, height=user defined, material=mirror, room=toilet, toilets=yes||Facility daily needs|Toilet / toilet compartment|accessibility [4]|mirror height||Mirror#heightFromGround, Mirror#isAccessibleWhileSeated, Mirror#isLocatedInsideRestroom, Restroom#hasMirror, Restroom#mirror, Restroom#toilet
mirror in toilet / toilet compartment|<WC>|amenity=toilets, building=toilets, material=mirror, room=toilet, toilets=yes||Facility daily needs|Toilet / toilet compartment|mirror [1]|||Mirror#heightFromGround, Mirror#isAccessibleWhileSeated, Mirror#isLocatedInsideRestroom, Restroom#hasMirror, Restroom#mirror, Restroom#toilet
mirror in toilet / toilet compartment is accessible; accessible: tiltable; accessible: full height (mirror-UK on washbasin-OK); not accessible|<WC>|access=no, access=yes, access:disabled=yes, amenity=toilets, building=tilets, material=mirror, room=toilet, toilets=yes|mirror=full_height, mirror:movable=tilt|Facility daily needs|Toilet / toilet compartment|mirror [1]|accessible; accessible: tiltable; accessible: full height (mirror-UK on washbasin-OK); not accessible|Accessibility#accessibleWith.wheelchair == false, Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Mirror#heightFromGround, Mirror#isAccessibleWhileSeated, Mirror#isLocatedInsideRestroom, PlaceInfo#accessibility, Restroom#hasMirror, Restroom#mirror, Restroom#toilet, Restroom#washBasin, WashBasin#accessibleWithWheelchair, WashBasin#isLocatedInsideRestroom
mirror is accessible while seated|<WC>|material=mirror|mirror=full_height, mirror:seated=yes||||||Mirror#isAccessibleWhileSeated, PlaceInfo#accessibility
number of toilet cabins|<WC>|toilets:number=user defined, toilets:num_chamber=user defined||Facility daily needs|Toilet / toilet compartment|description [1]|number of cabins||Restroom#toilet
number of urinals in toilet / toilet compartment|<WC>|toilets:number=user defined, toilets:num_chamber=user defined, toilets:position=urinal||Facility daily needs|Toilet / toilet compartment|description [1]|number of urinals||Restroom#toilet
one-room WC / toilet / toilet compartment|<WC>|amenity=toilets, building=toilets, room=toilet, toilets=yes, toilets:number=user defined, toilets:num_chambers=user defined||Facility daily needs|Toilet / toilet compartment|description [1]|one-room WC||Restroom#toilet
only seated toilets|<WC>|toilets:position=seated|||||||Restroom#toilet
only squat toilets|<WC>|toilets:position=squat|||||||Restroom#toilet
only urinal toilets|<WC>|toilets:position=urinal|||||||Restroom#toilet
opening hours of toilet / toilet compartment|<WC>|amenity=toilets, building=toilets, opening_hours=Mo-Fr 08:00-12:00,13:00-17:30; Sa 08:00-12:00; PH off, room=toilet, toilets=yes||Facility daily needs|Toilet / toilet compartment|access [3]|opening hours [2]||Restroom#toilet
paper flow of toilet paper dispenser|<WC>|amenity=toilets, buildings=toilets, room=toilet, toilets=yes|toilets:paper_flow=bad, toilets:paper_flow=good|Facility daily needs|Toilet / toilet compartment|toilet paper dispenser|paper flow||Restroom#toilet
pipes below the lavatory in toilet / toilet compartment insulated or otherwise configured to protect against contact|<WC>|amenity=toilets, building=toilet, room=toilet, toilets=yes|pipe=insulated, pipe:location=below_lavatory|Facility daily needs|Toilet / toilet compartment|lavatories|pipes below the lavatory insulated or otherwise configured to protect against contact||Restroom#toilet, WashBasin#accessibleWithWheelchair, WashBasin#isLocatedInsideRestroom, WashBasin#spaceBelowDepth, WashBasin#spaceBelowHeight
position of flush control: side of closet|<WC>|toilets:disposal=flush|closet_side=left, closet_side=right, location=user defined, location:description:lg=user defined|Facility daily needs|Toilet / toilet compartment|flush control|position: side of closet||PlaceInfo#description, Restroom#toilet
position of signs at toilet rooms (location): on the wall on the latch side of the door; or on the push side of doors with closers and w/o hold open devices|<WC>|amenity=toilets, building=toilets, room=toilet, toilets=yes|door=closer, door=without_hold_open_device, location=user defined, location:description:lg=user defined, sign=latch_side, sign=push_side, sign=wall, sign=yes|Facility daily needs|Toilet / toilet compartment|signs at toilet rooms|position (location): on the wall on the latch side of the door; or on the push side of doors with closers and w/o hold open devices||PlaceInfo#description, Restroom#toilet
position of toilet paper dispenser in toilet / toilet compartment|<WC>|amenity=toilets, building=toilets, room=toilet, toilets=yes, toilets:paper_supplied=yes|location=user defined, location:description:lg=user defined|Facility daily needs|Toilet / toilet compartment|toilet paper dispenser|position [2]||PlaceInfo#description, Restroom#toilet
publicly accessible toilet|<WC>|amenity=toilets|||||||Restroom#toilet
restricted access to toilet / toilet compartment|<WC>|access=permissive, access=permit, amenity=toilets, building=toilets, female=yes, male=yes, room=toilet, toilets=yes, toilets:wheelchair=no, toilets:wheelchair=yes||Facility daily needs|Toilet / toilet compartment|access [3]|restricted [3]||Restroom#toilet, Room#isAccessibleWithWheelchair
restroom entrance|<WC>|amenity=toilets, building=toilets, entrance=yes, room=toilet, room=washroom, toilet:facilities=yes, toilet=yes|||||||Restroom#entrance
restroom has bathtub|<WC>|amenity=toilets, building=toilets, room=bath, room=toilet, room=washroom, toilets=yes|facilities=bathtub||||||Restroom#hasBathTub
restroom has support rails|<WC>|amenity=toilets, building=toilets, room=toilet, room=washroom, toilets=yes|grab_bar=yes||||||Restroom#hasSupportRails, Shower#hasSupportRails, Shower#supportRailsAreAboveAndBelowControls
restroom has turning space inside|<WC>|amenity=toilets, building=toilets, room=toilet, room=washroom, toilets=yes|clear_floor_space=yes||||||Restroom#turningSpaceInside, Toilet#spaceInFront, Toilet#spaceOnUsersLeftSide, Toilet#spaceOnUsersRightSide
room containing one toilet only|<WC>|room=toilet||General help for orientation / Technical assistance|Rooms / venues / offices|type [15]|toilet||PlaceInfo#category, Restroom#toilet, StructuredAddress#room
room ID of toilet compartment|<WC>|amenity=toilets, building=toilety, ref=user defined, room=toilet, toilets=yes||Facility daily needs|Toilet / toilet compartment|room ID|||EquipmentProperties#originalId, PlaceInfo#originalId, Restroom#toilet, StructuredAddress#room, StructuredAddress#text
seated and urinal toilets|<WC>|toilets:position=seated;urinal|||||||Restroom#toilet
sign at toilet room with high contrast|<WC>|amenity=toilets, building=toilets, room=toilet, toilets=yes|high_contrast=yes, sign=high_contrast, sign=toilet, sign=yes|Facility daily needs|Toilet / toilet compartment|signs at toilet rooms|contrast||EquipmentProperties#isHighContrast, Restroom#signIcons, Restroom#toilet
signs at inaccessible toilets that give directions about accessible route to accessible toilet rooms|<WC>|amenity=toilets, building=toilets, information=guidepost, room=toilet, toilets=yes|route=accessible, sign=accessibility, sign=direction, sign=yes|Facility daily needs|Toilet / toilet compartment|signs at toilet rooms|at inaccessible toilets that give directions about accessible route to accessible toilet rooms|Accessibility#accessibleWith.wheelchair == false, Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Restroom#signIcons, Restroom#toilet
signs at toilet room regarding gender, disabled: Men; Ladies; Unisex; Accessible|<WC>|amenity=toilets, building=toilets, female=alternating, female=no, female=yes, male=alternating, male=no, male=yes, room=toilet, toilets=yes, toilets:wheelchair=no, toilets:wheelchair=yes, toilets_access=community, toilets_access=family, toilets_access=public, toilets_access=unspecified, unisex=alternating, unisex=yes, wheelchair=limited, wheelchair=no, wheelchair=yes|sign=accessibility, sign=female, sign=male, sign=toilet, sign=unisex, sign=yes|Facility daily needs|Toilet / toilet compartment|signs at toilet rooms|gender, disabled: Men; Ladies; Unisex; Accessible|Accessibility#accessibleWith.wheelchair == false, Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Restroom#isAccessibleWithWheelchair, Restroom#signIcons, Restroom#toilet, Room#isAccessibleWithWheelchair
signs at toilet rooms|<WC>|amenity=toilets, building=toilets, room=toilet, toilets=yes|sign=toilet, sign=yes|Facility daily needs|Toilet / toilet compartment|signs at toilet rooms|||Restroom#signIcons, Restroom#toilet
signs at toilet rooms are pictograms|<WC>|amenity=toilets, building=toilets, pictogram=yes, room=toilet, toilets=yes|sign=pictogram, sign=toilet, sign=yes|Facility daily needs|Toilet / toilet compartment|signs at toilet rooms|pictogram [2]||Restroom#signIcons, Restroom#toilet
signs at toilet rooms written in raised characters|<WC>|amenity=toilets, building=toilets, room=toilet, tactile_writing:braille:lg=yes, tactile_writing:computer_braille=yes, tactile_writing:embossed_printed_letters:lg=yes, tactile_writing:engraved_printed_letters:lg=yes, tactile_writing:fakoo:lg=yes, tactile_writing:moon:lg=yes, toilets=yes|sign=raised_text, sign=toilet, sign=yes|Facility daily needs|Toilet / toilet compartment|signs at toilet rooms|raised characters||EquipmentProperties#hasRaisedText, Restroom#signIcons, Restroom#toilet
